id,course_code,course_name,semester,academic_year,status,created_at,updated_at
1,CS101,Introduction to Computer Science,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
2,OOP201,Object-Oriented Programming,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
3,DS201,Data Structures,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
4,DB201,Database Systems,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
5,CN202,Computer Networks 2,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
6,OS301,Operating Systems,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
7,SE301,Requirements Engineering and Software Analysis,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
8,QA301,Software Testing and Quality Engineering,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
9,ALG301,Algorithm Design,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
10,ML301,Computational Learning,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
11,SEC301,Data Security,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
12,PAR401,Parallel and Distributed Computing,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
13,COMP401,Compiler Principles,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
14,0300021,Calculus 1,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
15,1003341,Linear Algebra,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
16,1003041,Introduction to Engineering Mechanics,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
17,1000971,Strength of Materials 1,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
18,1001381,Concrete Structures 1,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
19,1001080,Soil Mechanics 1,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
20,1001491,Structural Statics 1,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
21,1005001,Construction Management,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
22,6000811,Computer Programming,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
23,6000211,Statics,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
24,6000431,Dynamics,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
25,6060130,Introduction to Robotics,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
26,6060140,Thermodynamics,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
27,6000721,Strength of Materials 1,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
28,6000741,Fluid Mechanics 1,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
29,6000521,Control Systems,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
